city,latitude,longitude
Alameda,37.6090291,-121.899142
Alhambra,34.093042,-118.12706
Anaheim,33.8347516,-117.911732
Antioch,38.0049214,-121.805789
Arcadia,34.1362075,-118.0401497
Bakersfield,35.3738712,-119.0194639
Barstow,34.8957684,-117.0172077
Belmont,37.5164926,-122.2941914
Berkeley,37.8708393,-122.272863
Beverly Hills,34.0696501,-118.3963062
Brea,33.9170444,-117.888855
Buena Park,33.870413,-117.9962165
Burbank,34.1816482,-118.3258554
Calexico,32.6790572,-115.498703
Calistoga,38.5787966,-122.5797054
Carlsbad,33.1580933,-117.3505966
Carmel,41.4266361,-73.6788272
Chico,39.7284945,-121.8374777
Chula Vista,32.6400541,-117.0841955
Claremont,34.0966764,-117.7197785
Compton,33.894927,-118.226624
Concord,43.207178,-71.537476
Corona,33.8752945,-117.5664449
Coronado,32.6915199,-117.1766947
Costa Mesa,33.6633386,-117.903317
Culver City,34.0211224,-118.396466
Daly City,37.6904826,-122.47267
Davis,40.7474784,-92.3965311
Downey,33.942215,-118.1235646
El Centro,32.792,-115.5630514
El Cerrito,37.9154056,-122.301411
El Monte,34.0751571,-118.036849
Escondido,33.1216751,-117.0814849
Eureka,40.8020712,-124.1636729
Fairfield,43.13732,-74.913368
Fontana,34.0922335,-117.435048
Fremont,37.5482697,-121.988571
Fresno,36.7295295,-119.7088613
Fullerton,33.8708215,-117.9294165
Garden Grove,33.7746292,-117.9463717
Glendale,34.1469416,-118.2478471
Hayward,37.6688205,-122.080796
Hollywood,34.0980031,-118.329523
Huntington Beach,33.6783336,-118.0000166
Indio,33.743765,-116.2233152
Inglewood,33.9562003,-118.353132
Irvine,33.6856969,-117.8259819
La Habra,39.440073,-91.088401
Laguna Beach,33.5426975,-117.785366
Lancaster,40.03813,-76.3056686
Livermore,37.6820583,-121.7680531
Lodi,38.1246943,-121.2795346
Lompoc,34.6391501,-120.4579409
Long Beach,33.7690164,-118.191604
Los Angeles,34.0536909,-118.242766
Malibu,34.035591,-118.689423
Martinez,38.0138934,-122.1338674
Marysville,48.0517429,-122.1768209
Menlo Park,37.4519671,-122.1779927
Merced,37.1641544,-120.7678602
Modesto,37.6390972,-120.9968782
Monterey,36.2231079,-121.3877428
Mountain View,37.3893889,-122.0832101
Napa,38.2971367,-122.2855293
Needles,34.8480597,-114.6141316
Newport Beach,33.6170092,-117.9294401
Norwalk,41.095844,-73.4205337
Novato,38.1061979,-122.5681191
Oakland,37.8044557,-122.2713563
Oceanside,33.1958696,-117.3794834
Ojai,34.4480495,-119.242889
Ontario,34.065846,-117.6484304
Orange,33.7500378,-117.8704931
Oroville,39.5137752,-121.556359
Oxnard,34.1976308,-119.1803818
Pacific Grove,36.6211382,-121.9178014
Palm Springs,33.7721794,-116.4952977
Palmdale,34.5793131,-118.1171108
Palo Alto,37.4443293,-122.1598465
Pasadena,34.1476452,-118.1444779
Petaluma,38.2325829,-122.636465
Pomona,34.0553813,-117.7517496
Port Hueneme,34.1477558,-119.1951559
Rancho Cucamonga,34.1033192,-117.5751735
Red Bluff,40.1784279,-122.2359236
Redding,40.5863563,-122.391675
Redlands,34.0550328,-117.1827445
Redondo Beach,33.8455911,-118.3886766
Redwood City,37.4863239,-122.232523
Richmond,37.5385087,-77.43428
Riverside,33.9533546,-117.3961623
Roseville,38.7521235,-121.2880059
Sacramento,38.5810606,-121.493895
Salinas,36.6744117,-121.6550372
San Bernardino,34.8253019,-116.0833144
San Clemente,33.4270275,-117.6124179
San Diego,32.7174202,-117.1627728
San Fernando,34.28497,-118.437652
San Francisco,37.7790262,-122.419906
San Gabriel,34.0990733,-118.1085682
San Jose,37.3361905,-121.890583
San Juan Capistrano,33.5016932,-117.6625509
San Leandro,37.7249296,-122.1560768
San Luis Obispo,35.3540209,-120.3757163
San Marino,34.1215947,-118.1057394
San Mateo,37.496904,-122.3330573
San Pedro,33.7358518,-118.2922934
San Rafael,37.9735346,-122.5310874
San Simeon,35.6133158,-121.1442346
Santa Ana,33.7494951,-117.8732213
Santa Barbara,34.4221319,-119.7026673
Santa Clara,37.2333253,-121.6846349
Santa Clarita,34.3916641,-118.542586
Santa Cruz,37.050096,-121.9905908
Santa Monica,34.0194704,-118.4912273
Santa Rosa,38.4404925,-122.7141049
Sausalito,37.8590272,-122.485469
Simi Valley,34.2677404,-118.7538071
Sonoma,38.5110803,-122.8473388
South San Francisco,37.6535403,-122.4168664
Stockton,37.9577016,-121.2907796
Sunnyvale,37.3688301,-122.036349
Susanville,40.4162842,-120.6530063
Thousand Oaks,34.1714271,-118.9105877
Torrance,33.8358492,-118.3406288
Turlock,37.4946568,-120.8465941
Ukiah,39.1501662,-123.2077861
Vallejo,38.1040864,-122.2566367
Ventura,34.4458248,-119.0779359
Victorville,34.5361067,-117.2911565
Visalia,36.3302284,-119.2920585
Walnut Creek,37.9020731,-122.0618702
Watts,33.9405674,-118.2428485
West Covina,34.0686208,-117.9389526
Whittier,33.9708782,-118.0308396
Woodland,38.6786109,-121.7733285
Yorba Linda,33.8901096,-117.8249705
Yuba City,39.1404477,-121.6169108
